Date,US
1973-01-01,37779.0
1973-02-01,40254.0
1973-03-01,52590.0
1973-04-01,75199.0
1973-05-01,111830.0
1973-06-01,141393.0
1973-07-01,163956.0
1973-08-01,183572.0
1973-09-01,146224.0
1973-10-01,144605.0
1973-11-01,103442.0
1973-12-01,62876.0
1974-01-01,46372.0
1974-02-01,51588.0
1974-03-01,62737.0
1974-04-01,82393.0
1974-05-01,115400.0
1974-06-01,126476.0
1974-07-01,141061.0
1974-08-01,142588.0
1974-09-01,133822.0
1974-10-01,134910.0
1974-11-01,82758.0
1974-12-01,45271.0
1975-01-01,38701.0
1975-02-01,35284.0
1975-03-01,41130.0
1975-04-01,61921.0
1975-05-01,87224.0
1975-06-01,118260.0
1975-07-01,132149.0
1975-08-01,131127.0
1975-09-01,128340.00000000001
1975-10-01,119753.0
1975-11-01,79333.0
1975-12-01,41004.0
1976-01-01,34069.0
1976-02-01,33512.0
1976-03-01,52896.0
1976-04-01,65026.0
1976-05-01,94882.0
1976-06-01,115208.0
1976-07-01,122972.0
1976-08-01,137757.0
1976-09-01,120165.0
1976-10-01,103376.0
1976-11-01,75750.0
1976-12-01,42510.0
1977-01-01,33505.0
1977-02-01,35118.0
1977-03-01,54296.0
1977-04-01,66506.0
1977-05-01,100575.0
1977-06-01,134625.0
1977-07-01,124558.0
1977-08-01,142389.0
1977-09-01,124106.0
1977-10-01,117006.0
1977-11-01,76772.0
1977-12-01,46910.0
1978-01-01,30280.0
1978-02-01,30678.0
1978-03-01,51475.0
1978-04-01,70216.0
1978-05-01,105884.0
1978-06-01,140657.0
1978-07-01,143995.0
1978-08-01,165787.0
1978-09-01,135706.0
1978-10-01,143782.0
1978-11-01,89274.0
1978-12-01,51887.0
1979-01-01,39862.0
1979-02-01,36511.0
1979-03-01,54535.0
1979-04-01,69817.0
1979-05-01,108844.0
1979-06-01,134804.0
1979-07-01,138507.0
1979-08-01,155475.0
1979-09-01,131028.0
1979-10-01,130026.0
1979-11-01,91895.0
1979-12-01,61728.0
1980-01-01,37407.0
1980-02-01,38582.0
1980-03-01,45430.0
1980-04-01,56652.0
1980-05-01,87914.0
1980-06-01,110184.0
1980-07-01,122514.0
1980-08-01,121246.0
1980-09-01,117086.0
1980-10-01,107059.0
1980-11-01,68968.0
1980-12-01,49166.0
1981-01-01,37539.0
1981-02-01,29628.0
1981-03-01,45561.0
1981-04-01,59970.0
1981-05-01,72704.0
1981-06-01,91642.0
1981-07-01,100925.0
1981-08-01,106534.0
1981-09-01,92437.0
1981-10-01,90247.0
1981-11-01,64319.0
1981-12-01,36281.0
1982-01-01,19798.0
1982-02-01,25748.0
1982-03-01,36463.0
1982-04-01,47486.0
1982-05-01,70322.0
1982-06-01,98191.0
1982-07-01,109773.0
1982-08-01,121758.0
1982-09-01,102218.0
1982-10-01,100921.0
1982-11-01,59384.0
1982-12-01,37345.0
1983-01-01,24744.0
1983-02-01,25351.0
1983-03-01,40998.0
1983-04-01,51378.0
1983-05-01,84963.0
1983-06-01,112884.0
1983-07-01,118435.0
1983-08-01,134787.0
1983-09-01,118084.0
1983-10-01,94197.0
1983-11-01,69573.0
1983-12-01,28700.0
1984-01-01,27723.0
1984-02-01,30758.0
1984-03-01,41500.0
1984-04-01,57153.0
1984-05-01,89263.0
1984-06-01,119189.0
1984-07-01,129547.0
1984-08-01,147407.0
1984-09-01,126631.0
1984-10-01,111521.0
1984-11-01,70921.0
1984-12-01,40482.0
1985-01-01,29079.0
1985-02-01,30861.0
1985-03-01,49349.0
1985-04-01,72696.0
1985-05-01,99699.0
1985-06-01,118804.0
1985-07-01,143178.0
1985-08-01,139895.0
1985-09-01,126566.00000000001
1985-10-01,110782.0
1985-11-01,67800.0
1985-12-01,40774.0
1986-01-01,40165.0
1986-02-01,27463.0
1986-03-01,44428.0
1986-04-01,81871.0
1986-05-01,106101.0
1986-06-01,129029.0
1986-07-01,140934.0
1986-08-01,143093.0
1986-09-01,139520.0
1986-10-01,123167.0
1986-11-01,64399.0
1986-12-01,45563.0
1987-01-01,37993.0
1987-02-01,32473.000000000004
1987-03-01,50916.0
1987-04-01,77514.0
1987-05-01,110149.0
1987-06-01,133410.0
1987-07-01,153632.0
1987-08-01,145930.0
1987-09-01,140472.0
1987-10-01,116661.0
1987-11-01,83599.0
1987-12-01,47262.0
1988-01-01,19871.0
1988-02-01,39936.0
1988-03-01,53945.0
1988-04-01,71864.0
1988-05-01,113123.0
1988-06-01,144342.0
1988-07-01,140423.0
1988-08-01,165712.0
1988-09-01,141194.0
1988-10-01,119403.0
1988-11-01,80255.0
1988-12-01,46255.0
1989-01-01,29121.0
1989-02-01,37034.0
1989-03-01,46525.0
1989-04-01,71577.0
1989-05-01,103431.0
1989-06-01,123487.0
1989-07-01,141455.0
1989-08-01,165397.0
1989-09-01,129226.00000000001
1989-10-01,131018.0
1989-11-01,79744.0
1989-12-01,38013.0
1990-01-01,45897.0
1990-02-01,38319.0
1990-03-01,56444.0
1990-04-01,72152.0
1990-05-01,111480.0
1990-06-01,135753.0
1990-07-01,147527.0
1990-08-01,165182.0
1990-09-01,143559.0
1990-10-01,125656.99999999999
1990-11-01,83354.0
1990-12-01,44867.0
1991-01-01,35610.0
1991-02-01,37309.0
1991-03-01,48507.0
1991-04-01,73755.0
1991-05-01,100224.0
1991-06-01,126079.0
1991-07-01,136036.0
1991-08-01,140298.0
1991-09-01,138365.0
1991-10-01,125018.99999999999
1991-11-01,68136.0
1991-12-01,47197.0
1992-01-01,38264.0
1992-02-01,38942.0
1992-03-01,47985.0
1992-04-01,75896.0
1992-05-01,105124.0
1992-06-01,137828.0
1992-07-01,135067.0
1992-08-01,144451.0
1992-09-01,138003.0
1992-10-01,120233.0
1992-11-01,73445.0
1992-12-01,46984.0
1993-01-01,28936.0
1993-02-01,40925.0
1993-03-01,56358.0
1993-04-01,81317.0
1993-05-01,98139.0
1993-06-01,139908.0
1993-07-01,145703.0
1993-08-01,155427.0
1993-09-01,140620.0
1993-10-01,128134.0
1993-11-01,85824.0
1993-12-01,47730.0
1994-01-01,35751.0
1994-02-01,38496.0
1994-03-01,62215.0
1994-04-01,79978.0
1994-05-01,108853.0
1994-06-01,141992.0
1994-07-01,143288.0
1994-08-01,154290.0
1994-09-01,142474.0
1994-10-01,123125.0
1994-11-01,88225.0
1994-12-01,54229.0
1995-01-01,35085.0
1995-02-01,52696.0
1995-03-01,54183.0
1995-04-01,77940.0
1995-05-01,114730.0
1995-06-01,139648.0
1995-07-01,144141.0
1995-08-01,163398.0
1995-09-01,138984.0
1995-10-01,130384.0
1995-11-01,79931.0
1995-12-01,47056.0
1996-01-01,43453.0
1996-02-01,21010.0
1996-03-01,70050.0
1996-04-01,80621.0
1996-05-01,115393.0
1996-06-01,127272.0
1996-07-01,147857.0
1996-08-01,157486.0
1996-09-01,135627.0
1996-10-01,141280.0
1996-11-01,81696.0
1996-12-01,54196.0
1997-01-01,45204.0
1997-02-01,51164.0
1997-03-01,62624.0
1997-04-01,89838.0
1997-05-01,112739.0
1997-06-01,133695.0
1997-07-01,157280.0
1997-08-01,151938.0
1997-09-01,144791.0
1997-10-01,138042.0
1997-11-01,80428.0
1997-12-01,55822.0
1998-01-01,44196.0
1998-02-01,49763.0
1998-03-01,49631.0
1998-04-01,86912.0
1998-05-01,123861.0
1998-06-01,136635.0
1998-07-01,158295.0
1998-08-01,160870.0
1998-09-01,146125.0
1998-10-01,146556.0
1998-11-01,95432.0
1998-12-01,64276.0
1999-01-01,48708.0
1999-02-01,61131.0
1999-03-01,64542.0
1999-04-01,101358.0
1999-05-01,121007.0
1999-06-01,157114.0
1999-07-01,157087.0
1999-08-01,171594.0
1999-09-01,148189.0
1999-10-01,135952.0
1999-11-01,102287.0
1999-12-01,55444.0
2000-01-01,49120.0
2000-02-01,63268.00000000001
2000-03-01,77296.0
2000-04-01,87954.0
2000-05-01,130563.00000000001
2000-06-01,146450.0
2000-07-01,143152.0
2000-08-01,166471.0
2000-09-01,141128.0
2000-10-01,127557.0
2000-11-01,89294.0
2000-12-01,53433.0
2001-01-01,55218.0
2001-02-01,50228.0
2001-03-01,64734.0
2001-04-01,87887.0
2001-05-01,118194.0
2001-06-01,146908.0
2001-07-01,152343.0
2001-08-01,163849.0
2001-09-01,131433.0
2001-10-01,139635.0
2001-11-01,96262.0
2001-12-01,50175.0
2002-01-01,57972.0
2002-02-01,57335.0
2002-03-01,71622.0
2002-04-01,92944.0
2002-05-01,121120.0
2002-06-01,134830.0
2002-07-01,150451.0
2002-08-01,154692.0
2002-09-01,131174.0
2002-10-01,122076.0
2002-11-01,92685.0
2002-12-01,53055.0
2003-01-01,56426.0
2003-02-01,58662.0
2003-03-01,62756.99999999999
2003-04-01,87403.0
2003-05-01,108399.0
2003-06-01,131433.0
2003-07-01,147399.0
2003-08-01,145707.0
2003-09-01,137571.0
2003-10-01,131280.0
2003-11-01,90329.0
2003-12-01,62173.0
2004-01-01,54541.0
2004-02-01,56121.0
2004-03-01,81490.0
2004-04-01,105061.0
2004-05-01,114717.0
2004-06-01,138115.0
2004-07-01,151686.0
2004-08-01,162151.0
2004-09-01,143576.0
2004-10-01,125320.99999999999
2004-11-01,96667.0
2004-12-01,74403.0
2005-01-01,67924.0
2005-02-01,56289.0
2005-03-01,79343.0
2005-04-01,89742.0
2005-05-01,117539.0
2005-06-01,165042.0
2005-07-01,139900.0
2005-08-01,159236.0
2005-09-01,133619.0
2005-10-01,129643.00000000001
2005-11-01,119301.0
2005-12-01,65660.0
2006-01-01,60697.0
2006-02-01,61228.0
2006-03-01,84859.0
2006-04-01,102185.0
2006-05-01,130311.00000000001
2006-06-01,142298.0
2006-07-01,136121.0
2006-08-01,152797.0
2006-09-01,132733.0
2006-10-01,121726.0
2006-11-01,95204.0
2006-12-01,41007.0
2007-01-01,72602.0
2007-02-01,53705.0
2007-03-01,76106.0
2007-04-01,90675.0
2007-05-01,104228.0
2007-06-01,126855.0
2007-07-01,133935.0
2007-08-01,133035.0
2007-09-01,120587.0
2007-10-01,122488.0
2007-11-01,91164.0
2007-12-01,71660.0
2008-01-01,72885.0
2008-02-01,57864.0
2008-03-01,60707.0
2008-04-01,71660.0
2008-05-01,94736.0
2008-06-01,113523.0
2008-07-01,114428.0
2008-08-01,106344.0
2008-09-01,105771.0
2008-10-01,95670.0
2008-11-01,62532.00000000001
2008-12-01,55851.0
2009-01-01,40164.0
2009-02-01,51432.0
2009-03-01,61794.0
2009-04-01,59457.0
2009-05-01,76355.0
2009-06-01,101920.0
2009-07-01,101923.0
2009-08-01,111411.0
2009-09-01,91779.0
2009-10-01,77558.0
2009-11-01,57234.0
2009-12-01,42056.0
2010-01-01,41765.0
2010-02-01,46264.0
2010-03-01,54251.0
2010-04-01,65834.0
2010-05-01,77738.0
2010-06-01,102886.0
2010-07-01,96591.0
2010-08-01,110396.0
2010-09-01,92151.0
2010-10-01,89350.0
2010-11-01,58671.0
2010-12-01,41871.0
2011-01-01,45484.0
2011-02-01,46163.0
2011-03-01,57938.0
2011-04-01,61851.0
2011-05-01,73463.0
2011-06-01,90383.0
2011-07-01,95634.0
2011-08-01,112056.0
2011-09-01,91926.0
2011-10-01,87004.0
2011-11-01,59123.0
2011-12-01,38463.0
2012-01-01,41361.0
2012-02-01,42422.0
2012-03-01,48146.0
2012-04-01,65005.99999999999
2012-05-01,78736.0
2012-06-01,90609.0
2012-07-01,95393.0
2012-08-01,102226.0
2012-09-01,88540.0
2012-10-01,76926.0
2012-11-01,56052.0
2012-12-01,41281.0
2013-01-01,46003.0
2013-02-01,39868.0
2013-03-01,48462.0
2013-04-01,57711.0
2013-05-01,63365.00000000001
2013-06-01,80841.0
2013-07-01,93134.0
2013-08-01,95488.0
2013-09-01,91728.0
2013-10-01,77622.0
2013-11-01,52119.0
2013-12-01,37006.0
2014-01-01,40041.0
2014-02-01,38666.0
2014-03-01,44257.0
2014-04-01,55269.0
2014-05-01,71241.0
2014-06-01,80043.0
2014-07-01,95954.0
2014-08-01,94310.0
2014-09-01,89064.0
2014-10-01,80547.0
2014-11-01,52517.0
2014-12-01,50726.0
2015-01-01,41155.0
2015-02-01,39884.0
2015-03-01,45694.0
2015-04-01,60370.0
2015-05-01,70484.0
2015-06-01,93924.0
2015-07-01,98776.0
2015-08-01,105008.0
2015-09-01,93377.0
2015-10-01,82255.0
2015-11-01,57078.0
2015-12-01,43657.0
2016-01-01,40053.0
2016-02-01,44335.0
2016-03-01,52232.0
2016-04-01,59876.0
2016-05-01,80985.0
2016-06-01,96011.0
2016-07-01,97160.0
2016-08-01,107704.0
2016-09-01,87366.0
2016-10-01,85822.0
2016-11-01,61662.0
2016-12-01,40158.0
2017-01-01,37713.0
2017-02-01,44950.0
2017-03-01,53417.0
2017-04-01,62962.00000000001
2017-05-01,75411.0
2017-06-01,94543.0
2017-07-01,91096.0
2017-08-01,111741.0
2017-09-01,88400.0
2017-10-01,84551.0
2017-11-01,61351.0
2017-12-01,43047.0
2018-01-01,32481.999999999996
2018-02-01,37769.0
2018-03-01,57238.0
2018-04-01,44775.0
2018-05-01,79225.0
2018-06-01,94834.0
2018-07-01,94533.0
2018-08-01,104222.0
2018-09-01,76682.0
2018-10-01,84383.0
2018-11-01,49258.0
2018-12-01,37362.0
2019-01-01,40040.0
2019-02-01,37367.0
2019-03-01,47684.0
2019-04-01,63324.00000000001
2019-05-01,76010.0
2019-06-01,82189.0
2019-07-01,104926.0
2019-08-01,104211.0
2019-09-01,95599.0
2019-10-01,90111.0
2019-11-01,61648.0
2019-12-01,40772.0
2020-01-01,39360.0
2020-02-01,36836.0
2020-03-01,41930.0
2020-04-01,58034.0
2020-05-01,75146.0
2020-06-01,101769.0
2020-07-01,100926.0
2020-08-01,98476.0
2020-09-01,83989.0
2020-10-01,82454.0
2020-11-01,63367.00000000001
2020-12-01,48709.0
2021-01-01,49134.0
